"","phone_name","counts","X","电商报价","屏幕类型","出厂系统内核","CPU型号","机身颜色","解锁方式","触摸屏类型","主屏尺寸","主屏材质","主屏分辨率","屏幕像素密度","屏幕占比","屏幕技术","核心数","RAM容量","ROM容量","电池容量","电池充电","SIM卡类型","机身接口","摄像头总数","后置摄像头","前置摄像头","光圈","手机尺寸","手机重量","操作类型"
"35","华为nova 4（标配版/全网通）",3575,102,"￥3099|￥3099","全面屏（极点屏）","Android 9.0","海思 Kirin 970|手机性能排行","亮黑色，贝母白，苏音蓝，蜜语红|查看外观","后置指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","TFT LCD（IPS）","2310x1080像素|1080P高清（击败|98.2%|手机）","398ppi","91.8%|全面屏（极点屏）（击败|99.8%|手机）|更多极点屏手机＞","","4×Cortex A73 2.36GHz+4×Cortex A53 1.8GHz+微智核i7","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3750mAh（30分钟充电41%）|大电池|大电池手机","快速快充|续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","四摄像头（后三）","2000万像素+1600万像素+200万像素|高清级像素|样张秀|，|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.8+f/2.2+f/2.4，前置f/2.0","157x75.1x7.77mm","172g",""
"36","华为P20（全网通）",6209,473,"￥3188|￥3388","全面屏（刘海屏）","","海思 Kirin 970|手机性能排行","樱粉金，亮黑色，珠光贝母，极光闪蝶色，极光色，宝石蓝，香槟金|查看外观","前置指纹识别","电容屏，多点触控","5.8英寸|可单手打字|更多5.8英寸手机＞","LCD","2244x1080像素|1080P高清（击败|98.2%|手机）","428ppi","80.34%|全面屏（刘海屏）（击败|97.83%|手机）|更多刘海屏手机＞","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","3400mAh|大电池|大电池手机","","双卡|，|Nano SIM卡","USB Type-C接口","三摄像头（后双）","2000万像素+1200万像素|高清级像素|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.8+f/1.6","149.1x70.8x7.65mm","165g","触控按键"
"37","华为P20 Pro（6GB RAM/全网通）",7584,474,"￥3788|￥4488","全面屏（刘海屏）","Android 8.1","海思 Kirin 970|手机性能排行","亮黑色，宝石蓝，樱粉金，极光色，极光闪蝶色，珠光贝母|查看外观","前置指纹识别","电容屏，多点触控","6.1英寸|需双手打字|更多6.1英寸手机＞","OLED","2240x1080像素|1080P高清（击败|98.2%|手机）","408ppi","81.99%|全面屏（刘海屏）（击败|98.25%|手机）|更多刘海屏手机＞","","八核","6GB|游戏运行良好","64GB/128GB/256GB|1.3万张照片|5461首歌曲","4000mAh|大电池","","双卡|，|Nano SIM卡","USB Type-C接口","四摄像头（后三）","4000万像素+2000万像素+800万像素|高清级像素|样张秀|，|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.8+f/1.6+f/2.4，前置f/2.0","155x73.9x7.8mm","180g","触控按键"
"38","会播HB01（全网通）",34,139,"￥3499","","Android","高通 骁龙625（MSM8953）|手机性能排行","黑色|查看外观","后置指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","1920x1080像素|1080P高清（击败|98.2%|手机）","367ppi","80%|（击败|97.76%|手机）","","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","4600mAh|大电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","四摄像头（前双+后双）","1600万像素+500万像素|高清级像素|高清像素手机","1300万像素+1200万像素|高清级像素|高像素自拍手机","f/1.8","165.3x75.3x10.4mm","226g",""
"39","联想PHAB2 PRO",2468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","联想Z5 Pro GT 855版（6GB RAM/全网通）",1849,108,"￥2998","","ZUI 10.0（基于Android O）","高通 骁龙855|手机性能排行","碳纤黑|查看外观","屏幕指纹识别","电容屏，多点触控","6.39英寸|需双手打字|更多6.39英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","403ppi","95.06%|（击败|100%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","3350mAh（30分钟充电40%）|大电池|大电池手机","快速快充|续航测试","双卡|，|Nano SIM卡","USB Type-C接口","四摄像头（前双+后双）","2400万像素+1600万像素|高清级像素|高清像素手机","1600万像素+800万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.2","155.12x73.04x9.3mm","210g","触控按键"
"41","美图T9哆啦A梦限量版（全网通）",1,293,"￥2799|￥3324","","MEIOS4.3（基于Android 8.1）","高通 骁龙660|手机性能排行","","后置指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","72.22%|（击败|93.02%|手机）","On-Cell全贴合技术","八核","4GB|游戏运行一般","128GB|2.6万张照片|1.1万首歌曲","3100mAh|小电池","快速快充","","","四摄像头（前双+后双）","1200万像素+500万像素|高清级像素|高清像素手机","1200万像素+500万像素|高清级像素|高像素自拍手机","f/1.8","172.1x75x9.5mm","183g",""
"42","美图T9美少女战士限量版（全网通）",529,422,"￥2999|￥3419","","MEIOS4.3（基于Android 8.1）","高通 骁龙660|手机性能排行","","后置指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","72.22%|（击败|93.02%|手机）","On-Cell全贴合技术","八核","4GB|游戏运行一般","128GB|2.6万张照片|1.1万首歌曲","3100mAh|小电池","快速快充","","","四摄像头（前双+后双）","1200万像素+500万像素|高清级像素|高清像素手机","1200万像素+500万像素|高清级像素|高像素自拍手机","f/1.8","172.1x75x9.5mm","183g",""
"43","美图T9樱桃小丸子限量版（全网通）",324,294,"￥2999|￥3514","","MEIOS4.3（基于Android 8.1）","高通 骁龙660|手机性能排行","","后置指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","72.22%|（击败|93.02%|手机）","On-Cell全贴合技术","八核","4GB|游戏运行一般","128GB|2.6万张照片|1.1万首歌曲","3100mAh|小电池","快速快充","","","四摄像头（前双+后双）","1200万像素+500万像素|高清级像素|高清像素手机","1200万像素+500万像素|高清级像素|高像素自拍手机","f/1.8","172.1x75x9.5mm","183g",""
"44","美图V7（全网通）",249,64,"￥3999","","Android 8.1","高通 骁龙845|手机性能排行","赤霞橙光，花园粉蝶，绿境之梦|查看外观","前置指纹识别","电容屏，多点触控","6.21英寸|需双手打字|更多6.21英寸手机＞","AMOLED","2244x1080像素|1080P高清（击败|98.2%|手机）","401ppi","73.64%|（击败|94.79%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3450mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","五摄像头（前三+后双）","1200万像素+800万像素|高清级像素|高清像素手机","1200万像素+2000万像素+800万像素|高清级像素|高像素自拍手机","","176x75x10.5mm","208g",""
"45","魅族16th Plus（8GB RAM/全网通）",9311,319,"￥2898|￥4298","","Flyme OS","高通 骁龙845|手机性能排行","远山白，静夜黑，极光蓝|查看外观","屏幕指纹识别","电容屏，多点触控","6.5英寸|需双手打字|更多6.5英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","372ppi","91.18%|（击败|99.58%|手机）","On-Cell全贴合技术","八核","8GB|游戏运行流畅","128GB/256GB|2.6万张照片|1.1万首歌曲","3640mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","2000万像素+1200万像素|高清级像素|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.8+f/2.6，前置f/2.0","160.4x78.2x7.3mm","182g","虚拟按键"
"46","努比亚X（6GB RAM/深空灰/全网通）",3592,161,"￥2999|￥3499","","nubia UI 6.0.2（基于Android 8.1）","高通 骁龙845|手机性能排行","深空灰|查看外观","双侧指纹识别","电容屏，多点触控","6.26英寸|需双手打字|更多6.26英寸手机＞","LCD","2280x1080像素|1080P高清（击败|98.2%|手机）","403ppi","93.6%|（击败|99.94%|手机）","第三代康宁大猩猩玻璃","八核","6GB|游戏运行良好","64GB|1.3万张照片|5461首歌曲","3800mAh（30分钟充电45%）|大电池|大电池手机","快速快充|续航测试","","USB Type-C接口","双摄像头","2400万像素+1600万像素|高清级像素|高清像素手机","","后置f/1.8+f/1.7","154.1x73.30x8.65mm","181g","虚拟按键"
"47","努比亚Z18（8GB RAM/梵高星空典藏版/全网通）",2577,287,"￥3599|￥3899","","nubia UI 6.0（基于Android 8.1.0）","高通 骁龙845|手机性能排行","极夜黑，星云红|查看外观","后置指纹识别","电容屏，多点触控","5.99英寸|可单手打字|更多5.99英寸手机＞","","2160x1080像素|1080P高清（击败|98.2%|手机）","403ppi","91.8%|（击败|99.8%|手机）","第三代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3450mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","1600万像素+2400万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.6+f/1.6，前置f/2.0","148.58x72.54x8.55mm","172g","虚拟按键"
"48","努比亚Z18（8GB RAM/全网通）",1,285,"￥2699|￥3299","","nubia UI 6.0（基于Android 8.1.0）","高通 骁龙845|手机性能排行","极夜黑，星云红|查看外观","后置指纹识别","电容屏，多点触控","5.99英寸|可单手打字|更多5.99英寸手机＞","","2160x1080像素|1080P高清（击败|98.2%|手机）","403ppi","91.8%|（击败|99.8%|手机）","第三代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3450mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","1600万像素+2400万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.6+f/1.6，前置f/2.0","148.58x72.54x8.55mm","172g","虚拟按键"
"49","努比亚红魔Mars电竞手机（6GB RAM/全网通）",4952,156,"￥2699","","Android 9.0","高通 骁龙845|手机性能排行","曜石黑，烈焰红，战地迷彩|查看外观","后置指纹识别","电容屏，多点触控","6英寸|需双手打字|更多6英寸手机＞","LCD","2160x1080像素|1080P高清（击败|98.2%|手机）","403ppi","78.29%|（击败|97.21%|手机）","","八核","6GB|游戏运行良好","64GB|1.3万张照片|5461首歌曲","3800mAh（30分钟充电35%）|大电池|大电池手机","快速快充|续航测试","双卡","USB Type-C接口","双摄像头（前后）","1600万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.8，前置f/2.0","158.25x75x9.85mm","193g","虚拟按键"
"50","努比亚红魔Mars电竞手机（8GB RAM/全网通）",3324,181,"￥3199|￥3199","","Redmagic OS V1.6（基于Android 9.0）","高通 骁龙845|手机性能排行","曜石黑，烈焰红，战地迷彩|查看外观","后置指纹识别","电容屏，多点触控","6英寸|需双手打字|更多6英寸手机＞","TFT材质","2160x1080像素|1080P高清（击败|98.2%|手机）","403ppi","78.29%|（击败|97.21%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3800mAh|大电池|大电池手机","快速快充","双卡","USB Type-C接口","双摄像头（前后）","1600万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.8，前置f/2.0","158.25x75x9.85mm","193g","虚拟按键"
"51","苹果iPhone 7（全网通）",3869,1107,"￥3799|￥3650","","iOS 10","苹果 A10+M10协处理器|手机性能排行","银色，金色，玫瑰金，黑色，亮黑色，中国红|查看外观","前置指纹识别","电容屏，多点触控","4.7英寸|可单手打字|更多4.7英寸手机＞","Retina HD","1334x750像素|720P普清（击败|86.94%|手机）","326ppi","65.62%|（击败|82.5%|手机）","3D Touch 技术","四核","2GB|游戏运行卡顿","32GB/128GB/256GB|6553张照片|2730首歌曲","1960mAh|小电池","","单卡|，|Nano SIM卡","lightning接口","双摄像头（前后）","1200万像素|高清级像素|样张秀|，|高清像素手机","700万像素|普通级像素|高像素自拍手机","后置f/1.8，前置f/2.2","138.3x67.1x7.1mm","138g","触控按键"
"52","苹果iPhone 7 Plus（特别版/全网通）",3992,957,"￥3658|￥6649","","iOS 10","苹果 A10+M10协处理器|手机性能排行","中国红|查看外观","前置指纹识别","电容屏，多点触控","5.5英寸|可单手打字|更多5.5英寸手机＞","Retina HD","1920x1080像素|1080P高清（击败|98.2%|手机）","401ppi","67.67%|（击败|85.88%|手机）","3D Touch 技术","四核","3GB|游戏运行卡顿","128GB/256GB|2.6万张照片|1.1万首歌曲","2910mAh|小电池","","单卡|，|Nano SIM卡","lightning接口","三摄像头（后双）","双1200万像素|高清级像素|高清像素手机","700万像素|普通级像素|高像素自拍手机","后置f/1.8（广角镜头） f/2.8（长焦镜头），前置f/2.2","158.2x77.9x7.3mm","188g","触控按键"
"53","苹果iPhone 8（全网通）",4134,758,"￥3899|￥3900","","iOS 11","苹果 A11+M11协处理器|手机性能排行","金色，银色，深空灰，红色|查看外观","前置指纹识别","电容屏，多点触控","4.7英寸|可单手打字|更多4.7英寸手机＞","IPS|，Multi-Touch显示屏","1334x750像素|720P普清（击败|86.94%|手机）","326ppi","65.37%|（击败|82.29%|手机）","","六核","2GB|游戏运行卡顿","64GB/256GB|1.3万张照片|5461首歌曲","1821mAh（30分钟充电22%）|小电池","无线快充|快速快充|续航测试","Nano SIM卡","lightning接口","双摄像头（前后）","1200万像素|高清级像素|高清像素手机","700万像素|普通级像素|高像素自拍手机","后置f/1.8，前置f/2.2","138.4x67.3x7.3mm","148g","触控按键"
"54","荣耀10 GT（全网通）",7388,372,"￥2899|￥3499","","EMUI 8.1（基于Android 8.1）","海思 Kirin 970|手机性能排行","幻夜黑，幻影蓝，铃兰白|查看外观","前置指纹识别|，|面部识别","电容屏，多点触控","5.84英寸|可单手打字|更多5.84英寸手机＞","TFT LCD（IPS）","2280x1080像素|1080P高清（击败|98.2%|手机）","432ppi","79.92%|（击败|97.74%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3400mAh|大电池|大电池手机","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","黑白2400万像素+彩色1600万像素|高清级像素|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","149.6x71.2x7.7mm","153g","触控按键"
"55","荣耀Magic 2（6GB RAM/全网通）",6155,151,"￥3499|￥3610","全面屏（常规全面屏）","Android 9.0","海思 Kirin 980|手机性能排行","渐变红，渐变黑，渐变蓝|查看外观","屏幕指纹识别","电容屏，多点触控","6.39英寸|需双手打字|更多6.39英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","403ppi","91.5%|全面屏（常规全面屏）（击败|99.71%|手机）|更多常规全面屏手机＞","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3500mAh（30分钟充电83%）|大电池|大电池手机","续航测试","双卡|，|Nano SIM卡","USB Type-C接口","六摄像头（前三+后三）","1600万像素+2400万像素+1600万像素|高清级像素|样张秀|，|高清像素手机","1600万像素+200万像素+200万像素|高清级像素|高像素自拍手机","后置f/1.8+f/1.8+f/2.2，前置f/2.0+f/2.4+f/2.4","157.32x75.13x8.3mm","206g",""
"56","荣耀Note10（6GB RAM/全网通）",13,366,"￥2599|￥2599","全面屏（18.5:9常规全面屏）","Android 8.1","海思 Kirin 970|手机性能排行","幻影蓝，幻夜黑|查看外观","","电容屏，多点触控","6.95英寸|需双手打字|更多6.95英寸手机＞","AMOLED","2220x1080像素|1080P高清（击败|98.2%|手机）","355ppi","81.49%|全面屏（18.5:9常规全面屏）（击败|98.11%|手机）","全贴合","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","5000mAh|大电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","2400万像素+1600万像素|高清级像素|样张秀|，|高清像素手机","1300万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","177x85x7.65mm","230g","虚拟按键"
"57","荣耀Note10（8GB RAM/全网通）",6282,373,"￥3399|￥3400","","EMUI 8.2（基于Android 8.1）","海思 Kirin 970|手机性能排行","幻影蓝，幻夜黑|查看外观","","电容屏，多点触控","6.95英寸|需双手打字|更多6.95英寸手机＞","AMOLED","2220x1080像素|1080P高清（击败|98.2%|手机）","355ppi","81.49%|（击败|98.11%|手机）","全贴合","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","5000mAh（30分钟充电41%）|大电池","快速快充|续航测试","双卡|，|Nano SIM卡","USB Type-C接口","","2400万像素+1600万像素|高清级像素|样张秀|，|高清像素手机","1300万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","177x85x7.65mm","230g","虚拟按键"
"58","荣耀V10（8GB RAM/全网通）",7056,706,"￥3299|￥3449","","EMUI 8.0（基于Android 8.0）","海思 Kirin 970|手机性能排行","极光蓝，幻夜黑，沙滩金，魅丽红|查看外观","前置指纹识别","电容屏，多点触控","5.99英寸|可单手打字|更多5.99英寸手机＞","TFT LCD材质（IPS技术）","2160x1080像素|1080P高清（击败|98.2%|手机）","403ppi","78.65%|（击败|97.42%|手机）","全贴合","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3750mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","","2000万像素+1600万像素|高清级像素|高清像素手机","1300万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","157x74.98x6.97mm","172g","触控按键"
"59","荣耀V20（6GB RAM/全网通）",7181,103,"￥2799|￥2999","全面屏（极点屏）","Android 9.0","海思 Kirin 980|手机性能排行","幻夜黑，魅海蓝，魅丽红|查看外观","后置指纹识别","电容屏，多点触控（十点）","6.4英寸|需双手打字|更多6.4英寸手机＞","TFT LCD（IPS）","2310x1080像素|1080P高清（击败|98.2%|手机）","398ppi","91.28%|全面屏（极点屏）（击败|99.65%|手机）|更多极点屏手机＞","全贴合技术","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","4000mAh（30分钟充电47%）|大电池","快速快充|续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","4800万像素+TOF立体深感镜头|高清级像素|样张秀|，|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","156.9x75.4x8.1mm","180g","虚拟按键"
"60","荣耀V20（8GB RAM/全网通）",918,112,"￥3299|￥3699","","MagicUI2.0.1（基于Android 9.0）","海思 Kirin 980|手机性能排行","幻夜黑，魅海蓝，魅丽红|查看外观","后置指纹识别","电容屏，多点触控（十点）","6.4英寸|需双手打字|更多6.4英寸手机＞","TFT LCD（IPS）","2310x1080像素|1080P高清（击败|98.2%|手机）","398ppi","91.28%|（击败|99.65%|手机）","全贴合技术","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","4800万像素+TOF立体深感镜头|高清级像素|样张秀|，|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","156.9x75.4x8.1mm","180g","虚拟按键"
"61","荣耀V9（DUK-AL20/6GB RAM/全网通）",6983,983,"￥2699|￥2199","","EMUI 5.1（基于Android 7.0）","海思 Kirin 960|手机性能排行","铂光金，幻夜黑，极光蓝，魅焰红|查看外观","后置指纹识别","电容屏，多点触控","5.7英寸|可单手打字|更多5.7英寸手机＞","TFT材质（LTPS技术）","2560x1440像素|2K超清（击败|99.81%|手机）","515ppi","73.61%|（击败|94.77%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","双1200万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/2.2，前置f/2.0","157x77.5x6.97mm","184g","虚拟按键"
"62","三星Galaxy A8s独角精灵版（全网通）",1552,114,"￥2599","","","高通 骁龙710|手机性能排行","莓什么，有点芒|查看外观","后置指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","PLS TFT LCD","2340x1080像素|1080P高清（击败|98.2%|手机）","403ppi","84.74%|（击败|98.89%|手机）","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3400mAh|大电池|大电池手机","","","USB Type-C接口","四摄像头（后三）","2400万像素+500万像素+1000万像素|高清级像素|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.2+f/2.4，前置f/2.0","158.4x74.9x7.4mm","173g","虚拟按键"
"63","三星Galaxy A9s（6GB RAM/全网通）",1556,154,"￥2799|￥3199","全面屏（18.5:9常规全面屏）","Android 8.0","高通 骁龙660|手机性能排行","泡泡粉，柠沁蓝，鱼子黑|查看外观","后置指纹识别","电容屏，多点触控","6.3英寸|需双手打字|更多6.3英寸手机＞","Super AMOLED","2220x1080像素|1080P高清（击败|98.2%|手机）","392ppi","79.47%|全面屏（18.5:9常规全面屏）（击败|97.65%|手机）","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3800mAh（30分钟充电暂无%）|大电池|大电池手机","","双卡","3.5mm耳机接口|USB Type-C接口","五摄像头（后四）","2400万像素+800万像素+1000万像素+500万像素|高清级像素|样张秀|，|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4+f/2.4+f/2.2","162.5x77x7.8mm","183g","虚拟按键"
"64","三星GALAXY Note 8（N9500/全网通）",874,761,"￥3799|￥3999","","Android 7.1","高通 骁龙835（MSM8998）|手机性能排行","谜夜黑，星河蓝，旷野灰，粉色|查看外观","后置指纹识别|，|虹膜识别|，|面部识别","电容屏，多点触控","6.3英寸|需双手打字|更多6.3英寸手机＞","双曲面 Super AMOLED","2960x1440像素|2K超清（击败|99.81%|手机）","522ppi","82.87%|（击败|98.37%|手机）","第五代康宁大猩猩玻璃","八核","6GB|游戏运行良好","64GB/128GB/256GB|1.3万张照片|5461首歌曲","3300mAh（30分钟充电30%）|大电池|大电池手机","无线快充|快速快充|续航测试","双卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","双1200万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/1.7","162.5x74.8x8.6mm","195g","虚拟按键"
"65","三星GALAXY S8（G9500/双卡版/全网通）",5910,890,"￥2899|￥3299","全面屏（常规全面屏）","Android 7.0","高通 骁龙835（MSM8998）|手机性能排行","勃艮第红，烟晶灰，谜夜黑，雾屿蓝，绮梦金，芭比粉|查看外观","后置指纹识别|，|面部识别|，|虹膜识别","电容屏，多点触控","5.8英寸|可单手打字|更多5.8英寸手机＞","Super AMOLED","2960x1440像素|2K超清（击败|99.81%|手机）","568ppi","84.2%|全面屏（常规全面屏）（击败|98.77%|手机）|更多常规全面屏手机＞","","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","3000mAh（30分钟充电32%）|小电池","无线快充|快速快充|续航测试","双卡","3.5mm耳机接口|USB Type-C接口","双摄像头（前后）","1200万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","f/1.7","148.9x68.1x8mm","155g","虚拟按键"
"66","三星GALAXY S8+（G9550/双卡版/全网通）",5245,891,"￥3399|￥3560","","Android 7.0","高通 骁龙835（MSM8998）|手机性能排行","雾屿蓝，绮梦金，烟晶灰，瑰蜜粉，谜夜黑|查看外观","后置指纹识别|，|面部识别|，|虹膜识别","电容屏，多点触控","6.2英寸|需双手打字|更多6.2英寸手机＞","Super AMOLED","2960x1440像素|2K超清（击败|99.81%|手机）","531ppi","83.33%|（击败|98.57%|手机）","","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","3500mAh|大电池|大电池手机","无线快充|快速快充","双卡","3.5mm耳机接口|USB Type-C接口","双摄像头（前后）","1200万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","f/1.7","159.5x73.4x8.1mm","173g","虚拟按键"
"67","索尼Xperia XZ2 Premium（双4G）",184,612,"￥3999|￥5599","","","高通 骁龙845|手机性能排行","炫黑，光银|查看外观","后置指纹识别","电容屏，多点触控","5.8英寸|可单手打字|更多5.8英寸手机＞","","3840x2160像素|4K超高清（击败|99.99%|手机）","760ppi","73.38%|（击败|94.56%|手机）","","八核","6GB|游戏运行良好","64GB|1.3万张照片|5461首歌曲","3400mAh|大电池|大电池手机","无线快充|快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","","1900万像素+1200万像素|高清级像素|高清像素手机","1300万像素|高清级像素|高像素自拍手机","后置f/1.8+f/1.6，前置f/2.0","158x80x11.9mm","236g",""
"68","小米8（8GB RAM/全网通）",1618,576,"￥2899|￥2899","","MIUI 9（基于Android 8.1）","高通 骁龙845|手机性能排行","黑色，白色，香槟金，亮蓝色|查看外观","后置指纹识别","电容屏，多点触控","6.21英寸|需双手打字|更多6.21英寸手机＞","AMOLED","2248x1080像素|1080P高清（击败|98.2%|手机）","402ppi","83.83%|（击败|98.66%|手机）","","八核","8GB|游戏运行流畅","","3400mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","1200万像素广角镜头+1200万像素长焦镜头|高清级像素|样张秀|，|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.8+f/2.4","154.9x74.8x7.6mm","175g","虚拟按键"
"69","小米8透明探索版（全网通）",1762,368,"￥3699","","MIUI 9（基于Android 8.1）","高通 骁龙845|手机性能排行","黑色|查看外观","前置压感屏幕指纹识别","电容屏，多点触控","6.21英寸|需双手打字|更多6.21英寸手机＞","AMOLED","2248x1080像素|1080P高清（击败|98.2%|手机）","402ppi","83.83%|（击败|98.66%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3000mAh|小电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","1200万像素广角镜头+1200万像素长焦镜头|高清级像素|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.8+f/2.4","154.9x74.8x7.6mm","177g","虚拟按键"
"70","小米9（6GB RAM/全网通）",6101,31,"￥2999|￥3299","全面屏（19.5:9水滴屏）","基于Android 9.0","高通 骁龙855|手机性能排行","深空灰，全息幻彩蓝，全息幻彩紫|查看外观","屏幕指纹识别（第五代）","电容屏，多点触控","6.39英寸|需双手打字|更多6.39英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","403ppi","90.7%|全面屏（19.5:9水滴屏）（击败|99.49%|手机）","第6代大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3300mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","四摄像头（后三）","4800万像素+1600万像素+1200万像素|高清级像素|样张秀|，|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置：f/1.75+f/2.2|前置：f/2.0","157.5x74.67x7.61mm","173g","触控按键"
